function, code1, hexcode1, code2, hexcode2

"3D OFF","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,48,24,24,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,48,24,48,24,24,816 ","0000 0067 0000 0010 0060 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0330",,

"3D ON","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,24,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,48,24,48,24,24,840 ","0000 0067 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0348",,

"3D TOGGLE","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,24,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,48,24,48,24,24,741 ","0000 0068 0000 0010 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 02E5",,

"ALARM","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1104 ","0000 0067 0000 000D 0060 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0450",,

"ALTERNATE AUDIO","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,483 ","0000 0068 0000 0015 0060 0018 0030 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 01E3",,

"ALTERNATE VIDEO","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,507 ","0000 0068 0000 0015 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 01FB",,

"AUDIO","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1004 ","0000 0068 0000 000D 0060 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03EC",,

